MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
PH,8S0C,70,23,128,42,42,19,10370,HIGH,SL,N
PH,ES0IA,83,47,160,94,50,37,22098,HIGH,HM,N
CW,ES1BH,84,55,152,105,44,32,19532,HIGH,TL,N
PH,ES1BH,63,26,122,50,40,21,10492,HIGH,TL,N
CW,ES1CN,65,28,123,47,35,16,8670,HIGH,TL,N
CW,ES1O,63,37,124,73,40,23,12411,LOW,TL,N
PH,ES1O,63,35,122,65,42,24,12342,LOW,TL,N
CW,ES1OX,7,0,13,0,5,0,65,LOW,TL,N
CW,ES1TU,87,64,171,122,49,39,25784,LOW,TL,N
PH,ES1TU,59,53,116,106,36,42,17316,LOW,TL,N
CW,ES2DF,45,18,88,36,29,15,5456,LOW,HR,N
PH,ES2DF,31,20,62,40,24,16,4080,LOW,HR,N
CW,ES2DJ,80,35,156,68,43,26,15456,LOW,HR,N
PH,ES2DJ,17,14,34,28,13,12,1550,LOW,HR,N
CW,ES2MC,98,81,196,162,51,46,34726,HIGH,HR,N
PH,ES2MC,110,84,217,166,66,55,46343,HIGH,HR,N
PH,ES2O,41,36,82,65,28,26,7938,LOW,HR,N
CW,ES2RR,87,38,174,72,47,29,18696,LOW,HR,N
PH,ES2RR,74,29,145,58,46,22,13804,LOW,HR,N
CW,ES3BM,73,43,140,75,41,22,13545,HIGH,RP,N
PH,ES3BM,101,30,198,54,55,25,20160,HIGH,RP,N
CW,ES3BQ,27,0,51,0,20,0,1020,HIGH,RP,N
CW,ES3VI,76,56,149,110,43,38,20979,HIGH,RP,N
PH,ES3VI,79,47,150,92,47,37,20328,HIGH,RP,N
CW,ES5EP,80,34,159,65,41,21,13888,LOW,TA,N
PH,ES5EX,22,5,39,6,16,3,855,LOW,JG,N
PH,ES5GI,10,0,20,0,7,0,140,LOW,JG,N
PH,ES5NHC,39,22,74,44,27,17,5192,LOW,TA,N
CW,ES5QA,79,49,154,92,52,42,23124,HIGH,JG,N
PH,ES5QA,100,54,187,105,52,42,27448,HIGH,JG,N
PH,ES5RIM,33,27,62,46,24,18,4536,LOW,JG,N
CW,ES5YG,61,22,114,38,33,14,7144,LOW,TA,N
PH,ES5YG,26,0,52,0,19,0,988,LOW,TA,N
PH,ES6PA,72,18,138,33,46,14,10260,LOW,VO,N
CW,ES6Q,86,62,166,124,45,42,25230,HIGH,VO,N
PH,ES6QC,76,35,145,69,40,23,13482,HIGH,VO,N
PH,ES6RMR,51,18,102,36,34,16,6900,LOW,VC,N
PH,ES6RW,110,75,216,147,62,49,40293,HIGH,VO,N
CW,ES7A,93,62,178,122,51,45,28800,HIGH,VP,N
PH,ES7A,101,51,194,98,59,35,27448,HIGH,VP,N
CW,ES7GM,107,75,214,148,56,53,39458,HIGH,VP,N
PH,ES7GM,119,78,234,155,62,50,43568,HIGH,VP,N
CW,ES8CO,13,0,26,0,7,0,182,HIGH,PU,N
PH,ES8GP,67,31,130,57,40,24,11968,LOW,PU,N
CW,LA0CX,56,74,111,144,40,45,21675,HIGH,OF,N
CW,LA2G,50,45,99,90,31,31,11718,HIGH,AK,N
PH,LA2GKA,22,15,35,26,17,11,1708,LOW,RL,N
CW,LA2XNA,18,29,30,56,11,22,2838,LOW,AK,N
PH,LA2XNA,21,26,40,51,17,20,3367,LOW,AK,N
CW,LA5UF,35,16,68,32,24,14,3800,HIGH,VF,N
CW,LA6M,4,0,7,0,4,0,28,LOW,TR,N
PH,LA6M,11,4,22,8,9,3,360,LOW,TR,N
PH,LA7TN,21,16,41,32,16,14,2190,LOW,AA,N
PH,LA7USA,5,10,10,20,5,9,420,LOW,HO,N
PH,LA9RY,3,12,6,24,3,10,390,LOW,RL,N
PH,LC2L,17,17,34,31,16,12,1820,HIGH,OS,N
PH,LC5C,9,30,18,59,9,24,2541,HIGH,TR,N
PH,LN2T,25,71,49,137,23,45,12648,HIGH,ST,N
CW,LY1CT,78,0,152,0,44,0,6688,HIGH,KD,Y
PH,LY1CT,10,0,20,0,10,0,200,HIGH,KD,Y
CW,LY1DZ,63,44,124,85,36,26,12958,LOW,VV,N
PH,LY1DZ,29,24,58,48,19,22,4346,LOW,VV,N
PH,LY1GN,28,3,41,6,15,3,846,LOW,VU,N
PH,LY1LB,106,59,199,111,58,40,30380,HIGH,SI,N
CW,LY1M,41,41,82,80,20,23,6966,LOW,MM,N
