MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
PH,ES0IA,2,0,4,0,2,0,8,LOW,HM,N
CW,ES1BH,81,53,159,102,45,32,20097,HIGH,TL,N
PH,ES1BH,47,2,93,4,34,2,3492,HIGH,TL,N
PH,ES1O,42,3,77,6,28,2,2490,MULTI,TL,N
CW,ES1OX,84,0,142,0,43,0,6106,LOW,TL,N
PH,ES1OX,29,0,54,0,19,0,1026,LOW,TL,N
PH,ES1QD,21,0,41,0,15,0,615,LOW,TL,N
CW,ES1TU,75,68,145,135,48,39,24360,HIGH,TL,N
CW,ES2DF,20,11,38,22,15,9,1440,LOW,HR,N
PH,ES2DF,23,1,46,2,20,1,1008,LOW,HR,N
CW,ES2DJ,79,27,158,54,45,20,13780,HIGH,HR,N
PH,ES2DJ,21,5,41,10,20,5,1275,HIGH,HR,N
CW,ES2JL,13,2,24,4,8,2,280,HIGH,HR,N
CW,ES2MC,103,75,204,147,57,46,36153,HIGH,HR,N
PH,ES2MC,63,45,124,90,41,30,15194,HIGH,HR,N
PH,ES2O,47,8,90,16,28,8,3816,HIGH,HR,N
CW,ES2QX,76,34,148,68,46,29,16200,LOW,HR,N
PH,ES2QX,30,4,59,8,23,4,1809,LOW,HR,N
CW,ES3BM,67,31,124,58,41,21,11284,HIGH,RP,N
PH,ES3BM,60,13,110,26,35,10,6120,HIGH,RP,N
CW,ES3BQ,25,0,49,0,19,0,931,HIGH,RP,N
CW,ES5EP,78,38,156,74,50,25,17250,LOW,TA,N
PH,ES5GI,25,0,49,0,19,0,931,LOW,JG,N
PH,ES5RIM,37,4,74,8,27,3,2460,LOW,JG,N
CW,ES5RR,111,89,219,177,61,60,47916,HIGH,JG,N
PH,ES5RR,93,48,177,92,53,35,23672,HIGH,JG,N
PH,ES5YG,13,0,25,0,13,0,325,LOW,TA,N
CW,ES6DO,60,29,118,58,42,20,10912,LOW,VC,N
PH,ES6PA,67,0,131,9,41,3,6160,LOW,VO,N
CW,ES6Q,81,63,161,124,43,43,24510,HIGH,VO,N
PH,ES6RMR,66,2,122,0,34,2,4536,LOW,VC,N
PH,ES6RW,85,57,165,112,48,37,23545,HIGH,VO,N
CW,ES7A,105,60,208,116,59,50,35098,HIGH,VP,N
PH,ES7A,86,20,161,34,47,16,12285,MULTI,VP,N
CW,ES7GM,108,81,212,155,60,56,42572,HIGH,VP,N
PH,ES7GM,97,42,185,78,55,28,21829,HIGH,VP,N
CW,LA0CX,58,66,116,126,39,39,18876,HIGH,OF,N
PH,LA2GKA,24,1,47,2,16,1,833,LOW,RL,N
CW,LA2HFA,49,52,98,104,35,34,13938,LOW,AK,N
PH,LA2HFA,20,10,38,20,15,8,1334,LOW,AK,N
CW,LA2US,26,38,51,76,19,29,6096,LOW,NO,N
CW,LA2WRA,6,5,8,7,4,3,105,LOW,MR,N
PH,LA2WRA,22,12,43,22,16,10,1690,LOW,MR,N
CW,LA4NL,9,2,17,2,8,1,171,LOW,FI,N
PH,LA4NL,18,15,36,29,16,12,1820,LOW,FI,N
CW,LA7AK,56,64,109,128,35,40,17775,HIGH,RL,N
PH,LA7AK,25,0,47,0,21,0,987,HIGH,RL,N
PH,LA7USA,7,3,14,6,7,2,180,LOW,HO,N
CW,LA8OM,79,91,152,180,47,50,32204,HIGH,RL,N
PH,LA8OM,53,0,100,0,29,0,2900,HIGH,RL,N
PH,LB4FH,10,9,20,18,9,7,608,HIGH,RL,N
PH,LC1C,61,25,121,47,34,14,8064,LOW,SF,N
PH,LC6C,40,3,80,6,28,3,2666,LOW,SF,N
CW,LY1DZ,63,37,126,74,40,26,13200,LOW,VV,N
PH,LY1LB,54,0,100,0,33,0,3300,LOW,SI,N
CW,LY1M,56,40,112,79,33,31,12224,LOW,MM,N
PH,LY1R,78,34,151,68,44,24,14892,HIGH,MM,N
PH,LY1SR,71,16,140,32,39,10,8428,LOW,KM,N
CW,LY2AX,80,46,148,86,43,32,17550,HIGH,KN,N
PH,LY2AX,62,14,116,26,37,10,6674,HIGH,KN,N
CW,LY2BKT,93,52,182,103,50,33,23655,HIGH,SI,N
PH,LY2BKT,71,8,137,16,40,8,7344,HIGH,SI,N
CW,LY2CQ,59,0,112,0,30,0,3360,LOW,VV,N
CW,LY2CX,95,49,186,94,51,33,23520,HIGH,KI,N
