MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,SM5CSS,52,89,103,173,33,47,22080,LOW,UP,N
CW,SM5DXT,31,65,60,127,21,40,11407,LOW,SO,N
CW,SM5EFX,24,44,47,84,16,32,6288,LOW,VM,N
CW,SM5IMO,61,93,119,184,36,54,27270,LOW,SO,N
CW,SM5LW,24,31,46,57,16,22,3914,LOW,SL,N
CW,SM5MX,30,55,57,105,20,33,8586,LOW,SL,N
CW,SM6IQD,22,8,39,10,15,4,931,LOW,VD,N
CW,SM6M,72,102,136,200,42,52,31584,HIGH,VD,N
CW,SM7ATL,15,37,29,63,12,23,3220,LOW,KA,N
CW,SM7IUN,2,68,4,135,2,43,6255,HIGH,SE,N
CW,SM9X,67,87,130,169,37,46,24817,LOW,UP,N
CW,YL1YF,48,75,93,149,28,47,18150,LOW,LI,N
CW,YL2BJ,80,100,159,195,46,47,32922,HIGH,VR,N
CW,YL2EA,48,61,91,122,29,40,14697,HIGH,RR,N
CW,YL2EM,,84,,163,,44,7172,LOW,RE,N
CW,YL2FD,15,64,28,122,11,38,7350,LOW,RR,N
CW,YL2GD,77,93,152,182,44,53,32398,HIGH,AU,N
CW,YL2KO,82,106,162,210,46,55,37572,HIGH,AU,N
CW,YL2NK,43,45,74,81,28,29,8835,LOW,LI,N
CW,YL2PJ,9,76,18,148,8,46,8964,LOW,RE,N
CW,YL2PP,64,64,124,124,38,38,18848,HIGH,RR,N
CW,YL2TD,44,81,86,162,27,47,18352,LOW,RR,N
CW,YL2VW,88,94,174,187,48,49,35017,HIGH,RR,N
CW,YL3ANT,3,,5,,2,,10,LOW,RE,N
CW,YL3BU,4,,8,,4,,32,LOW,RR,N
CW,YL3FT,85,97,167,188,48,49,34435,HIGH,OE,N
CW,YL3FW,42,73,83,144,28,43,16117,LOW,LI,N
CW,YL3GI,6,,12,,6,,72,LOW,RR,N
CW,YL3GQ,37,50,74,98,26,33,10148,LOW,JE,N
CW,YL3JA,46,73,87,137,28,40,15232,LOW,TU,N
CW,YL3JD,39,62,75,114,25,35,11340,HIGH,OE,N
CW,YL5W,39,86,75,167,25,44,16698,HIGH,BV,N
CW,YL7A,70,84,139,161,40,47,26100,HIGH,VK,N
CW,YL7X,94,100,188,198,49,52,38986,HIGH,KG,N
CW,YL9T,89,94,177,186,48,51,35937,HIGH,VK,N
PH,ES1BH,40,48,76,95,25,34,10089,HIGH,TL,N
PH,ES1TAR,36,44,71,86,28,32,9420,LOW,TL,N
PH,ES2DF,32,29,61,58,23,21,5236,LOW,HR,N
PH,ES2IA,8,,14,,7,,98,HIGH,HR,N
PH,ES2MC,95,91,183,180,52,53,38115,HIGH,HR,N
PH,ES2O,39,32,73,62,26,24,6750,LOW,HR,N
