MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,ES0DJ,17,12,32,24,14,9,1288,HIGH,SR,N
PH,ES0DJ,8,10,16,18,8,8,544,HIGH,SR,N
CW,ES1BH,69,15,127,24,41,13,8154,HIGH,TL,N
PH,ES1BH,41,13,81,22,29,11,4120,HIGH,TL,N
PH,ES1O,40,1,72,2,27,1,2072,MULTI,TL,N
CW,ES1QD,44,15,86,27,32,12,4972,LOW,TL,N
CW,ES1TI,46,13,77,17,28,7,3290,LOW,TL,N
PH,ES1TI,42,4,82,8,35,4,3510,LOW,TL,N
CW,ES1TU,90,49,176,94,54,35,24030,HIGH,TL,N
PH,ES2O,39,3,73,6,29,3,2528,LOW,HR,N
CW,ES3BM,45,5,89,9,32,5,3626,LOW,RP,N
PH,ES3BM,25,0,50,0,20,0,1000,LOW,RP,N
CW,ES3RF,66,27,130,53,44,18,11346,LOW,RP,N
CW,ES3V,85,40,162,76,44,30,17612,LOW,RP,N
PH,ES3V,54,22,100,40,37,15,7280,MULTI,RP,N
CW,ES4NY,60,14,114,28,35,13,6816,LOW,IV,N
PH,ES4NY,56,0,110,0,39,0,4290,HIGH,IV,N
CW,ES4OJ,51,14,77,20,34,8,4074,LOW,LV,N
PH,ES5E,49,10,93,20,35,9,4972,LOW,TA,N
CW,ES5EP,73,35,146,70,45,31,16416,LOW,TA,N
PH,ES5EP,46,0,89,0,37,0,3293,LOW,TA,N
CW,ES5JR,80,15,158,27,50,13,11655,LOW,TA,N
PH,ES5JR,57,1,108,0,34,0,3672,LOW,TA,N
PH,ES5RIM,28,3,52,6,21,3,1392,LOW,JG,N
CW,ES5TV,118,81,228,159,62,55,45279,HIGH,JG,N
PH,ES5TV,97,68,194,135,59,43,33558,HIGH,JG,N
CW,ES6CO,26,4,50,7,24,4,1596,LOW,PL,N
CW,ES6DO,77,15,154,30,46,12,10672,LOW,VC,N
PH,ES6DO,51,4,92,8,31,4,3500,LOW,VC,N
PH,ES6PA,38,3,73,6,29,3,2528,LOW,VO,N
PH,ES6QC,44,10,84,20,33,8,4264,HIGH,VO,N
PH,ES6RW,77,56,153,109,46,40,22532,HIGH,VO,N
CW,ES7A,90,53,180,103,52,37,25187,HIGH,VP,N
PH,ES7A,75,17,145,34,49,15,11456,HIGH,VP,N
CW,ES7GM,108,78,209,148,60,55,41055,HIGH,VP,N
PH,ES7GM,94,43,188,76,56,31,22968,HIGH,VP,N
CW,ES8DH,32,2,61,4,21,2,1495,LOW,PU,N
PH,ES8GP,76,11,141,22,45,10,8965,HIGH,PU,N
CW,LA0CX,78,73,154,142,46,45,26936,HIGH,OF,N
PH,LA1B,79,0,155,0,48,0,7440,HIGH,HO,N
CW,LA2HFA,71,46,142,91,41,29,16310,LOW,AK,N
