MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,ES1BH,52,78,95,149,29,41,17080,HIGH,TL,N
CW,ES1OX,37,42,64,68,19,26,5940,LOW,TL,N
CW,ES1TAR,20,40,39,69,16,20,3888,LOW,TL,N
CW,ES2D,3,46,6,91,3,34,3589,MO,HR,N
CW,ES2GW,26,63,45,116,17,35,8372,LOW,HR,N
CW,ES2JJ,0,61,0,113,0,38,4294,LOW,HR,N
CW,ES2MA,25,29,50,57,18,24,4494,LOW,HR,N
CW,ES2MC,75,112,145,218,47,58,38115,HIGH,HR,N
CW,ES2RR,80,99,158,194,44,53,34144,HIGH,HR,N
CW,ES3BM,17,8,28,15,7,7,602,LOW,RP,N
CW,ES3V,80,107,153,204,38,49,31059,MO,RP,N
CW,ES5NY,36,88,70,168,22,49,16898,LOW,JG,N
CW,ES5QA,19,43,30,82,13,31,4928,LOW,JG,N
CW,ES5YG,40,70,77,136,23,38,12993,MO,TA,N
CW,ES6CO,24,10,43,17,14,5,1140,LOW,PL,N
CW,ES7A,77,31,148,59,46,24,14490,HIGH,VP,N
CW,ES7GN,67,35,126,68,30,24,10476,HIGH,VP,N
CW,LA1TV,42,93,81,177,26,49,19350,HIGH,BU,N
CW,LA1U,19,15,32,29,13,13,1586,HIGH,XX,N
CW,LA6CDA,12,23,20,38,8,14,1276,LOW,BU,N
CW,LA8OM,7,68,13,130,3,35,5434,HIGH,RL,N
CW,LA9OI,19,62,37,117,11,39,7700,HIGH,AK,N
CW,LY0NAS,32,57,60,109,20,28,8112,LOW,PA,N
CW,LY1CT,55,90,106,173,29,46,20925,HIGH,KD,N
CW,LY1M,26,90,51,171,13,45,12876,HIGH,MM,N
CW,LY2A,66,86,119,167,34,45,22594,HIGH,MM,N
CW,LY2AT,31,66,61,127,19,38,10716,LOW,MM,N
CW,LY2BKT,49,110,94,216,24,53,23870,LOW,SI,N
CW,LY2CX,30,84,54,162,13,43,12096,HIGH,VU,N
CW,LY2F,60,105,118,205,34,52,27778,LOW,KN,N
CW,LY2HS,16,20,30,38,7,9,1088,LOW,UT,N
CW,LY2J,48,74,91,141,25,46,16472,LOW,MM,N
CW,LY2MC,21,16,40,30,11,13,1680,LOW,TI,N
CW,LY2MM,38,98,75,191,22,51,19418,HIGH,KM,N
CW,LY2TS,0,108,0,207,0,48,9936,LOW,TI,N
CW,LY3BN,68,115,128,228,37,58,33820,HIGH,KN,N
CW,LY3CY,24,64,48,126,13,39,9048,HIGH,VU,N
CW,LY3DA,43,70,81,134,20,38,12470,CHECKLOG,KM,Y
CW,LY3NX,51,64,97,118,24,36,12900,LOW,UT,N
CW,LY4BF,32,66,63,128,15,38,10123,LOW,VU,N
CW,LY4K,29,93,58,180,17,48,15470,LOW,KM,N
CW,LY4T,61,100,118,194,31,47,24336,HIGH,KN,N
CW,LY5A,76,72,145,137,40,38,21996,HIGH,SI,N
CW,LY5G,22,58,42,110,15,36,7752,LOW,KD,N
CW,LY5O,51,100,100,196,26,50,22496,HIGH,KM,N
CW,LY5R,72,107,139,211,36,53,31150,HIGH,UT,N
CW,LY5T,0,112,0,217,0,52,11284,LOW,AT,N
CW,LY5W,45,105,86,206,25,51,22192,HIGH,KN,N
