MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,ES1BH,69,67,134,130,37,42,20856,HIGH,TL,N
CW,ES1OX,46,65,82,125,26,36,12834,LOW,TL,N
CW,ES1TAR,26,25,44,47,16,21,3367,LOW,TL,N
CW,ES2GW,11,49,22,92,10,35,5130,LOW,HR,N
CW,ES2JJ,37,25,65,39,25,18,4472,LOW,HR,N
CW,ES2MA,51,36,97,71,33,25,9744,LOW,HR,N
CW,ES2MC,80,90,160,179,45,44,30171,HIGH,HR,N
CW,ES2RR,88,80,175,158,50,45,31635,HIGH,HR,N
CW,ES3BM,61,50,112,94,32,28,12360,HIGH,RP,N
CW,ES3EA,3,12,6,24,3,12,450,LOW,RP,N
CW,ES5NC,78,51,154,100,42,40,20828,HIGH,TA,N
CW,ES5NHC,15,3,30,6,12,2,504,LOW,TA,N
CW,ES5NY,55,71,107,140,33,39,17784,LOW,JG,N
CW,ES5QA,71,3,136,2,37,1,5244,HIGH,JG,N
CW,ES5RLN,17,16,32,29,15,11,1586,LOW,TA,N
CW,ES5YG,54,46,104,89,29,29,11194,MO,TA,N
CW,ES7A,98,99,192,196,46,48,36472,HIGH,VP,N
CW,ES7GN,60,55,111,109,31,34,14300,LOW,VP,N
CW,LA1TV,76,79,150,154,43,41,25536,HIGH,BU,N
CW,LA6CDA,11,15,19,28,8,12,940,LOW,BU,N
CW,LC2L,21,32,41,62,17,26,4429,LOW,OS,N
CW,LY0NAS,23,23,46,46,17,18,3220,LOW,VU,N
CW,LY1CT,22,26,43,52,15,15,2850,HIGH,KD,N
CW,LY1M,41,87,81,169,26,45,17750,HIGH,MM,N
CW,LY2A,83,76,164,149,44,41,26605,LOW,MM,N
CW,LY2AX,74,68,144,132,39,38,21252,HIGH,KN,N
CW,LY2BAA,40,0,78,0,24,0,1872,LOW,PN,N
CW,LY2BKT,70,80,139,159,38,44,24436,LOW,SI,N
CW,LY2CX,85,80,166,156,47,43,28980,HIGH,KI,N
CW,LY2EN,0,66,0,116,0,30,3480,LOW,VU,N
CW,LY2F,82,83,160,165,43,44,28275,HIGH,KN,N
CW,LY2FN,85,74,168,147,43,46,28035,HIGH,MM,N
CW,LY2GV,47,74,90,145,28,38,15510,LOW,SI,N
CW,LY2HS,19,19,38,35,9,8,1241,LOW,UT,N
CW,LY2K,46,70,89,137,28,37,14690,LOW,AT,N
CW,LY2MC,53,53,102,104,33,33,13596,LOW,TI,N
CW,LY2MM,72,88,142,174,40,45,26860,HIGH,KM,N
CW,LY2SA,86,86,172,166,46,43,30082,HIGH,AT,N
CW,LY2SQ,20,0,40,0,16,0,640,LOW,PA,N
CW,LY2TS,0,93,0,183,0,47,8601,LOW,TI,N
CW,LY310KD,45,79,88,153,27,39,15906,LOW,KI,N
CW,LY3BN,86,90,170,179,46,46,32108,HIGH,KN,N
CW,LY3CY,41,41,77,81,21,29,7900,HIGH,VU,N
CW,LY3NX,67,50,127,92,37,29,14454,LOW,UT,N
CW,LY4A,93,98,172,186,41,45,30788,HIGH,SU,N
CW,LY4BF,51,58,97,116,30,32,13206,LOW,VU,N
CW,LY4K,52,75,101,149,27,40,16750,LOW,KM,N
CW,LY4L,73,106,142,205,42,50,31924,LOW,KN,N
CW,LY4Q,0,14,0,25,0,9,225,LOW,VU,N
CW,LY4T,67,90,133,178,38,42,24880,HIGH,KN,N
CW,LY5G,40,65,79,129,25,37,12896,LOW,KD,N
CW,LY5O,90,89,176,177,45,47,32476,HIGH,KM,N
CW,LY5R,2,32,4,64,2,24,1768,HIGH,UT,N
CW,LY5T,30,77,15,148,7,43,8150,LOW,AT,N
CW,LY5W,75,82,143,163,40,45,26010,HIGH,KN,N
CW,LY7M,86,102,169,201,44,48,34040,HIGH,UT,N
CW,LY7X,62,66,122,128,32,34,16500,LOW,KM,N
CW,LY9A,89,107,175,212,46,50,37152,LOW,PA,N
CW,OH1RX,48,56,87,108,29,33,12090,LOW,VA,N
CW,OH1SIC,72,61,140,121,40,34,19314,LOW,VA,N
CW,OH2BN,0,19,0,34,0,15,510,LOW,UU,N
CW,OH2KI,15,7,30,14,12,6,792,HIGH,KT,N
CW,OH2KW,72,87,141,170,41,46,27057,HIGH,UU,N
CW,OH2T,63,70,126,140,38,39,20482,LOW,UU,N
CW,OH3MC,36,36,61,61,20,20,4880,LOW,KT,N
CW,OH3N,0,27,0,52,0,21,1092,LOW,PH,N
CW,OH3Z,54,72,104,139,37,38,18225,HIGH,VA,N
CW,OH5ZA,41,61,82,119,28,36,12864,HIGH,PH,N
CW,OH6RE,0,72,0,138,0,40,5520,HIGH,KE,N
CW,OH7JL,72,43,129,82,36,30,13926,HIGH,PK,N
CW,OI3V,59,74,115,144,36,40,19684,HIGH,PM,N
CW,OZ1AAR,8,56,14,104,5,30,4130,LOW,KH,N
CW,OZ3SM,47,66,91,130,29,37,14586,HIGH,KH,N
CW,OZ5UR,26,50,49,100,16,33,7301,LOW,VS,N
CW,OZ7BQ,0,72,0,139,0,41,5699,LOW,KH,N
CW,SC6O,42,57,74,106,24,29,9540,LOW,VD,N
CW,SD1A,64,71,125,141,35,36,18886,HIGH,GO,N
CW,SD5M,9,44,18,88,8,30,4028,LOW,UP,N
CW,SE0B,42,78,81,139,29,36,14300,LOW,KR,N
CW,SE5E,84,92,167,182,42,46,30712,HIGH,UP,N
CW,SE5T,70,71,135,137,42,37,21488,LOW,UP,N
CW,SE6K,26,15,42,27,18,11,2001,LOW,HA,N
CW,SF1Z,75,93,144,179,37,44,26163,HIGH,GO,N
CW,SF6J,31,61,59,121,21,35,10080,LOW,VD,N
CW,SF6W,57,43,111,86,33,29,12214,LOW,VD,N
CW,SI7M,11,52,22,103,9,30,4875,LOW,SE,N
CW,SK5A,72,66,138,126,39,34,19272,HIGH,VM,N
CW,SM0OEK,68,85,136,166,37,43,24160,LOW,DA,N
CW,SM5ACQ,48,78,96,155,27,44,17821,LOW,VM,N
CW,SM5COP,15,12,29,24,7,7,742,LOW,SO,N
CW,SM5CSS,61,65,119,129,40,38,19344,LOW,UP,N
CW,SM5EPO,53,54,106,104,37,33,14700,LOW,UP,N
CW,SM5IMO,84,93,165,186,42,49,31941,LOW,SO,N
CW,SM6EAN,66,65,130,129,43,39,21238,HIGH,VD,N
CW,SM6M,79,96,153,178,40,43,27473,HIGH,VD,N
CW,SM6TOL,48,55,94,110,31,34,13260,LOW,VD,N
CW,SM7ATL,26,25,45,46,19,18,3367,LOW,KA,N
CW,YL1YF,66,74,128,147,35,38,20075,LOW,LI,N
CW,YL1ZF,86,81,169,161,46,45,30030,LOW,RR,N
CW,YL2BJ,96,84,190,166,47,44,32396,HIGH,VR,N
CW,YL2CQ,70,68,135,123,37,35,18576,LOW,TS,N
CW,YL2EA,50,57,91,111,28,36,12928,LOW,RR,N
CW,YL2FD,49,38,94,70,29,25,8856,LOW,RR,N
CW,YL2FZ,22,9,38,17,13,6,1045,LOW,AU,N
CW,YL2GD,85,88,166,175,46,48,32054,HIGH,AU,N
CW,YL2II,9,9,18,17,6,6,420,LOW,AI,N
CW,YL2KN,1,0,1,0,0,0,1,LOW,AU,N
CW,YL2KO,94,88,184,173,45,48,33201,HIGH,AU,N
CW,YL2LD,24,0,42,0,17,0,714,LOW,LM,N
CW,YL2NK,43,49,79,91,25,30,9350,LOW,LI,N
CW,YL2PJ,54,69,106,138,32,39,17324,LOW,RE,N
CW,YL2PP,71,43,138,82,35,28,13860,LOW,RR,N
CW,YL2QV,53,47,96,88,30,28,10672,LOW,JP,N
CW,YL2SM,87,93,172,183,51,48,35145,HIGH,AU,N
CW,YL2TD,73,85,141,169,40,45,26350,LOW,RR,N
CW,YL2VW,87,92,171,182,46,49,33535,HIGH,RR,N
CW,YL3AD,42,33,74,64,29,24,7314,LOW,RR,N
CW,YL3ANT,1,3,2,6,1,3,32,LOW,RE,N
CW,YL3FT,91,93,180,184,50,49,36036,HIGH,OE,N
CW,YL3JA,74,73,139,137,39,39,21528,LOW,TU,N
CW,YL3JD,59,51,113,98,34,33,14137,LOW,OE,N
CW,YL3NU,21,30,33,56,13,17,2670,LOW,RR,N
CW,YL5W,56,71,112,136,35,39,18352,HIGH,BV,N
CW,YL7A,87,70,170,137,42,39,24867,HIGH,VK,N
CW,YL7X,93,97,181,193,46,47,34782,HIGH,KG,N
CW,YL9T,95,93,184,180,49,48,35308,HIGH,VK,N
PH,ES1BH,69,55,136,110,42,37,19434,HIGH,TL,N
PH,ES1OX,23,45,41,77,17,29,5428,LOW,TL,N
PH,ES1PAW,14,8,27,14,11,7,738,LOW,TL,N
PH,ES1TAR,49,47,98,94,34,32,12672,LOW,TL,N
PH,ES2GW,1,58,2,114,1,37,4408,LOW,HR,N
PH,ES2IA,75,32,143,62,41,24,13325,HIGH,HR,N
PH,ES2MA,21,34,42,66,17,25,4536,LOW,HR,N
PH,ES2MC,80,97,158,190,46,50,33408,HIGH,HR,N
PH,ES2RRX,42,39,80,77,27,29,8792,LOW,HR,N
PH,ES2UNX,43,37,85,73,27,30,9006,LOW,HR,N
PH,ES2YW,24,31,48,62,21,24,4950,LOW,HR,N
PH,ES3BM,78,55,148,104,44,37,20412,HIGH,RP,N
PH,ES3EA,49,21,96,39,32,16,6480,LOW,RP,N
PH,ES5INA,18,16,30,28,11,10,1218,LOW,TA,N
PH,ES5NC,52,76,99,145,35,42,18788,HIGH,TA,N
PH,ES5NHC,39,22,74,44,26,18,5192,LOW,TA,N
PH,ES5NY,70,44,138,86,42,30,16128,LOW,JG,N
PH,ES5QA,71,0,133,0,43,0,5719,HIGH,JG,N
PH,ES5RIM,33,28,65,55,25,21,5520,LOW,JG,N
PH,ES5YG,25,14,48,27,19,10,2175,MO,TA,N
PH,ES6KW,22,8,44,16,19,7,1560,LOW,PL,N
PH,ES6PA,50,24,100,46,33,20,7738,LOW,VO,N
PH,ES6RW,84,78,163,152,47,45,28980,LOW,VO,N
PH,ES6TX,18,3,36,4,14,2,640,LOW,PL,N
PH,ES7A,105,109,205,214,53,55,45252,HIGH,VP,N
PH,ES7GN,29,21,57,40,19,17,3492,LOW,VP,N
