MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
PH,7S60BQ,16,21,32,42,16,16,2368,LOW,SE,N
CW,ES1BVG,78,48,156,92,44,34,19344,LOW,TL,N
PH,ES1BVG,62,19,123,38,40,14,8694,LOW,TL,N
PH,ES1LL,75,8,145,16,44,6,8050,LOW,TL,N
CW,ES1OX,64,18,126,36,37,12,7938,LOW,TL,N
PH,ES1OX,78,5,149,10,44,5,7791,LOW,TL,N
PH,ES1QX,24,1,46,2,18,1,912,LOW,TL,N
PH,ES1RAM,15,2,27,4,13,2,465,LOW,TL,N
PH,ES1TAR,37,9,70,18,25,8,2904,LOW,TL,N
CW,ES1TU,110,57,213,110,59,42,32623,LOW,TL,N
CW,ES2DF,40,14,80,27,32,11,4601,LOW,HR,N
CW,ES2GW,17,6,34,12,15,4,874,LOW,HR,N
PH,ES2GW,58,12,115,24,37,11,6672,LOW,HR,N
PH,ES2IA,43,0,85,0,28,0,2380,LOW,HR,N
CW,ES2JJ,49,0,93,0,31,0,2883,LOW,HR,N
CW,ES2MC,97,78,194,156,54,48,35700,HIGH,HR,N
PH,ES2MC,132,69,262,137,67,50,46683,HIGH,HR,N
PH,ES2O,11,3,21,6,7,3,270,LOW,HR,N
CW,ES2RR,119,18,238,36,60,16,20824,HIGH,HR,N
PH,ES2YW,21,0,42,0,16,0,672,LOW,HR,N
CW,ES3BH,75,15,144,30,39,11,8700,LOW,RP,N
PH,ES3BH,48,5,94,10,30,5,3640,LOW,RP,N
CW,ES3BM,84,17,166,33,50,13,12537,HIGH,RP,N
PH,ES3BM,112,15,222,30,57,15,18144,HIGH,RP,N
CW,ES3RF,68,27,130,52,43,20,11466,LOW,RP,N
CW,ES3VI,96,58,192,111,52,37,26967,HIGH,RP,N
PH,ES3VI,121,13,239,25,58,11,18216,HIGH,RP,N
PH,ES4AW,19,0,38,0,17,0,646,LOW,IV,N
CW,ES4OJ,38,15,71,25,26,7,3168,HIGH,LV,N
PH,ES5AKC,4,0,8,0,3,0,24,LOW,TA,N
CW,ES5EP,74,34,148,67,46,22,14620,LOW,TA,N
PH,ES5GI,9,0,18,0,5,0,90,LOW,JG,N
PH,ES5NHC,74,0,146,0,44,0,6424,LOW,TA,N
CW,ES5NY,67,21,132,40,39,17,9632,LOW,JG,N
PH,ES5NY,29,11,58,21,24,9,2607,LOW,JG,N
PH,ES5RIM,47,7,94,14,32,6,4104,LOW,JG,N
PH,ES5TF,77,14,154,28,44,12,10192,LOW,TA,N
CW,ES5TV,126,94,251,187,62,57,52122,HIGH,JG,N
PH,ES5TV,149,83,295,165,70,55,57500,HIGH,JG,N
PH,ES6FX,27,2,52,4,19,2,1176,LOW,PL,N
PH,ES6PA,22,1,44,2,19,1,920,LOW,VO,Y
PH,ES6QZ,37,0,73,0,31,0,2263,HIGH,PL,N
PH,ES6RBX,9,0,18,0,7,0,126,LOW,PL,N
PH,ES6RMR,69,12,137,24,35,11,7406,LOW,VC,N
PH,ES6RW,120,48,238,96,63,34,32398,HIGH,VO,N
CW,ES7A,114,43,223,80,61,32,28179,HIGH,VP,N
CW,ES7GM,117,93,233,182,60,57,48555,HIGH,VP,N
PH,ES7GM,140,67,274,133,67,52,48433,HIGH,VP,N
PH,ES7KEW,20,5,37,10,16,5,987,LOW,VP,N
PH,ES8BHR,28,3,56,5,22,3,1525,LOW,PU,N
PH,ES8GP,75,22,149,41,43,17,11400,LOW,PU,N
PH,ES8TJM,15,4,30,8,10,4,532,LOW,PU,Y
CW,LA0CX,77,70,152,137,45,43,25432,HIGH,VF,N
CW,LA1TV,84,66,168,131,45,43,26312,LOW,VF,N
PH,LA1TV,46,58,92,116,34,38,14976,LOW,VF,N
CW,LA1U,52,35,102,70,40,28,11696,HIGH,FI,N
CW,LA2HFA,50,43,100,86,36,31,12462,LOW,VF,N
PH,LA2HFA,16,24,31,46,14,18,2464,LOW,VF,N
PH,LA4C,15,0,30,0,13,0,390,HIGH,RL,N
CW,LA4KQ,23,0,43,0,18,0,774,HIGH,FI,N
CW,LA5UF,19,0,38,0,14,0,532,HIGH,TE,N
PH,LA5UF,24,24,47,47,19,19,3572,HIGH,TE,N
CW,LA6DW,23,31,44,60,19,23,4368,LOW,HO,N
CW,LA6GX,7,9,11,16,6,7,351,LOW,FI,N
PH,LA6GX,3,13,6,25,3,10,403,LOW,FI,N
CW,LA6XI,13,11,22,20,9,7,672,HIGH,VF,N
CW,LA7AK,56,62,111,121,31,39,16240,HIGH,RL,N
PH,LA7AK,19,35,38,68,16,27,4558,HIGH,RL,N
PH,LA7TN,17,20,34,40,14,16,2220,LOW,AG,N
PH,LA7USA,3,3,6,6,3,3,72,LOW,HO,N
CW,LA8OM,55,52,110,103,38,34,15336,LOW,RL,N
CW,LA9RY,18,15,33,28,14,11,1525,LOW,RL,N
PH,LA9RY,3,13,6,26,3,11,448,LOW,RL,N
PH,LB5SH,27,46,53,90,23,32,7865,HIGH,TR,N
PH,LB6VI,0,27,0,54,0,22,1188,HIGH,TR,N
CW,LC0X,70,63,138,122,38,39,20020,HIGH,IN,N
PH,LC0X,46,19,90,38,33,16,6272,HIGH,IN,N
PH,LC1C,35,52,70,103,28,34,10726,HIGH,HO,N
PH,LC5C,8,34,16,68,7,25,2688,HIGH,FI,N
CW,LN2G,67,44,131,87,40,30,15260,HIGH,VF,N
CW,LN7G,8,0,14,0,7,0,98,HIGH,IN,N
CW,LY0NAS,28,12,56,24,22,10,2560,LOW,VU,N
PH,LY0NAS,52,14,104,27,32,12,5764,LOW,VU,N
PH,LY1B,73,0,141,0,42,0,5922,LOW,VU,N
CW,LY1CT,73,39,146,78,44,28,16128,HIGH,KD,N
PH,LY1CT,54,0,105,0,31,0,3255,LOW,KD,Y
PH,LY1LB,60,20,118,40,33,17,7900,LOW,KN,N
CW,LY1M,68,44,133,86,37,31,14892,HIGH,MM,N
CW,LY1MS,41,17,79,32,27,15,4662,MULTI,VU,N
PH,LY1MS,34,6,65,12,22,5,2079,MULTI,VU,N
CW,LY2A,85,42,170,84,45,31,19304,LOW,MM,N
CW,LY2AT,68,20,133,36,38,16,9126,LOW,MM,N
CW,LY2AX,76,68,148,135,42,36,22074,HIGH,KN,N
PH,LY2AX,57,54,110,105,39,35,15910,HIGH,KN,N
CW,LY2BAA,41,0,80,0,29,0,2320,LOW,PN,N
PH,LY2BAA,69,0,136,0,40,0,5440,LOW,PN,N
CW,LY2BAW,114,69,227,138,53,44,35405,HIGH,VV,N
PH,LY2BAW,116,29,230,57,59,22,23247,HIGH,VV,N
CW,LY2BKT,96,40,190,78,53,29,21976,LOW,SI,N
PH,LY2BKT,76,17,151,34,45,14,10915,LOW,SI,N
CW,LY2CX,89,41,176,80,47,34,20736,HIGH,KI,N
PH,LY2CX,132,33,259,65,67,26,30132,HIGH,KI,N
CW,LY2DX,86,48,171,96,48,29,20559,LOW,KM,N
PH,LY2DX,70,30,140,60,41,19,12000,LOW,KM,N
CW,LY2F,116,76,229,148,56,38,35438,HIGH,KN,N
CW,LY2J,76,65,151,129,41,39,22400,LOW,MM,N
CW,LY2K,71,19,142,37,49,19,12172,LOW,AT,N
PH,LY2K,72,38,142,70,42,20,13144,LOW,AT,N
CW,LY2LO,34,3,66,6,26,3,2088,LOW,TI,N
PH,LY2LO,48,0,90,0,30,0,2700,LOW,TI,N
CW,LY2MC,54,26,108,50,35,20,8690,LOW,TI,N
PH,LY2MC,74,0,146,0,44,0,6424,LOW,TI,N
CW,LY2MM,88,52,172,104,49,33,22632,HIGH,KM,N
PH,LY2MM,57,39,113,76,36,26,11718,HIGH,KM,N
PH,LY2ON,34,0,66,0,26,0,1716,LOW,KI,N
CW,LY2SA,79,50,157,98,49,29,19890,LOW,MM,N
PH,LY2SA,31,0,61,0,17,0,1037,LOW,MM,N
CW,LY2T,75,26,146,52,43,17,11880,LOW,PN,N
PH,LY2T,67,28,132,56,41,21,11656,LOW,PN,N
CW,LY2TS,90,38,178,74,49,29,19656,LOW,TI,N
PH,LY2TS,87,19,167,37,44,16,12240,LOW,TI,N
PH,LY2VO,73,0,142,0,42,0,5964,LOW,SU,N
CW,LY3AB,33,7,62,12,24,7,2294,LOW,TI,N
PH,LY3AB,90,6,177,12,47,6,10017,LOW,TI,N
CW,LY3B,114,52,226,102,58,35,30504,HIGH,PA,N
CW,LY3BN,105,70,210,138,57,44,35148,HIGH,KN,N
PH,LY3BN,104,59,202,116,51,35,27348,HIGH,KN,N
PH,LY3IZ,51,12,100,22,33,11,5368,LOW,UT,N
PH,LY3LT,50,14,98,26,33,12,5580,LOW,VV,N
CW,LY3NX,62,9,118,18,39,9,6528,LOW,UT,N
PH,LY3NX,52,0,101,0,28,0,2828,LOW,UT,N
PH,LY3S,111,38,218,75,54,26,23440,HIGH,PN,N
PH,LY3UV,40,2,77,4,27,2,2349,LOW,KM,N
CW,LY4A,123,63,232,75,58,41,30393,HIGH,SU,N
PH,LY4A,129,61,256,120,63,45,40608,HIGH,SU,N
CW,LY4BF,0,41,0,81,0,26,2106,LOW,VU,N
CW,LY4G,109,79,217,156,58,48,39538,HIGH,PN,N
CW,LY4K,79,24,157,47,45,15,12240,LOW,KM,N
PH,LY4K,60,18,117,34,35,12,7097,LOW,KM,N
PH,LY4LA,40,0,73,0,24,0,1752,LOW,KD,N
PH,LY4MP,25,0,48,0,19,0,912,LOW,KI,N
PH,LY4Q,71,29,140,58,41,22,12474,LOW,VU,N
CW,LY4T,92,65,184,127,53,43,29856,HIGH,KN,N
PH,LY4T,98,34,195,67,53,24,20174,HIGH,KN,N
CW,LY4ZZ,124,39,248,78,60,24,27384,LOW,UT,N
PH,LY4ZZ,83,13,164,26,44,10,10260,LOW,UT,N
CW,LY5AA,53,25,100,46,35,14,7154,LOW,KM,N
CW,LY5AT,18,1,35,2,15,1,592,LOW,VU,N
PH,LY5AT,72,15,142,30,44,13,9804,LOW,VU,N
CW,LY5AX,67,22,130,43,40,18,10034,LOW,MM,N
PH,LY5AX,70,25,140,49,40,20,11340,LOW,MM,N
CW,LY5G,63,35,124,70,35,21,10864,LOW,KD,N
PH,LY5GT,58,11,113,22,40,10,6750,LOW,VV,N
CW,LY5I,100,46,198,90,48,30,22464,LOW,UT,N
PH,LY5I,87,23,170,45,44,15,12685,LOW,UT,N
CW,LY5O,126,56,251,109,58,40,35280,HIGH,KM,N
PH,LY5O,128,48,250,93,66,26,31556,HIGH,KM,N
CW,LY5T,82,54,162,103,50,37,23055,LOW,AT,N
CW,LY5W,134,70,267,140,59,47,43142,HIGH,KN,N
PH,LY5W,100,60,199,118,61,38,31383,HIGH,KN,N
CW,LY5YY,58,37,111,68,35,21,10024,MULTI,KM,N
PH,LY5YY,90,20,177,40,45,14,12803,MULTI,KM,N
CW,LY6A,98,64,194,128,48,37,27370,HIGH,KN,N
PH,LY6A,107,52,210,104,54,36,28260,HIGH,KN,N
CW,LY7M,124,79,248,155,61,47,43524,HIGH,UT,N
PH,LY7M,103,56,201,112,49,42,28483,HIGH,UT,N
CW,LY7W,81,28,161,56,39,19,12586,LOW,KI,N
PH,LY7W,67,7,131,11,40,6,6532,LOW,KI,N
CW,LY8A,95,63,188,122,50,38,27280,LOW,MM,N
PH,LY8A,13,0,25,0,13,0,325,LOW,MM,N
CW,LY9A,108,56,216,111,56,33,29103,LOW,PA,N
PH,LY9A,110,29,218,57,53,19,19800,LOW,PA,N
PH,OG2X,87,17,172,33,46,14,12300,HIGH,UU,N
CW,OG4A,64,46,127,89,40,28,14688,HIGH,PH,N
CW,OG4T,63,46,126,91,42,30,15624,LOW,ES,N
PH,OG4T,30,27,60,54,24,22,5244,LOW,ES,N
CW,OG4W,59,64,113,120,37,40,17941,LOW,ES,N
PH,OG4W,43,24,84,48,35,14,6468,LOW,ES,N
CW,OH1F,123,87,245,173,61,51,46816,HIGH,SA,N
PH,OH1F,100,46,194,92,60,33,26598,HIGH,SA,N
PH,OH1MM,71,33,141,65,45,24,14214,HIGH,SA,N
CW,OH1MM\/M,0,9,0,14,0,9,126,LOW,SA,N
CW,OH1NOA,99,53,197,106,55,35,27270,LOW,SA,N
PH,OH1NOA,63,27,125,54,42,19,10919,LOW,SA,N
CW,OH1SIC,71,31,135,62,41,25,13002,LOW,VA,N
PH,OH1SIC,42,18,84,34,29,12,4838,LOW,VA,N
PH,OH1TP,58,0,109,0,40,0,4360,LOW,SA,N
CW,OH1TS,29,28,56,53,19,19,4142,LOW,VA,N
PH,OH1ZE,38,8,76,16,31,3,3128,LOW,VA,N
CW,OH2BJ,98,84,196,158,51,44,33630,HIGH,UU,N
PH,OH2BJ,71,48,135,94,42,33,17175,HIGH,UU,N
PH,OH2BRG,35,13,70,26,25,9,3264,LOW,PM,N
CW,OH2BSI,46,37,90,74,33,28,10004,LOW,LA,N
CW,OH2CV,74,45,146,88,47,29,17784,LOW,PH,N
