MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,ES1BH,35,62,68,123,29,37,12606,HIGH,TL,N
CW,ES2DF,28,33,56,66,19,26,5490,LOW,HR,N
CW,ES2MC,100,96,198,189,56,61,45279,HIGH,HR,N
CW,ES2RR,82,79,163,157,47,53,32000,HIGH,HR,N
CW,ES3BH,18,6,35,11,16,5,966,LOW,TL,N
CW,ES3RF,56,52,110,103,37,41,16614,LOW,RP,N
CW,ES5NHC,9,10,16,20,8,10,648,LOW,TA,N
CW,ES5NY,54,58,103,113,36,40,16416,LOW,JG,N
CW,ES5TV,116,123,228,242,63,65,60160,HIGH,JG,N
CW,ES5YG,58,0,109,0,35,0,3815,HIGH,TA,N
CW,ES6Q,84,93,166,184,51,56,37450,HIGH,VO,N
CW,ES7A,87,98,164,194,48,58,37948,HIGH,VP,N
CW,ES7GM,113,95,224,189,60,60,49560,HIGH,VP,N
CW,LA1TV,78,87,153,173,47,48,30970,HIGH,VF,N
CW,LA1U,22,29,44,58,21,24,4590,HIGH,FI,N
CW,LA3WAA,0,1,0,2,0,1,2,LOW,TR,N
CW,LA6CDA,5,8,10,14,4,6,240,LOW,VF,N
CW,LA6DW,14,1,24,2,11,1,312,LOW,HO,N
CW,LA6XI,9,17,15,30,9,13,990,HIGH,VF,N
CW,LA7AK,28,55,55,107,22,40,10044,HIGH,RL,N
CW,LA8OM,27,81,54,158,21,50,15052,HIGH,RL,N
CW,LB1R,3,5,6,10,3,4,112,LOW,VF,N
CW,LB6GG,39,57,77,113,22,35,10830,LOW,RL,N
CW,LC0X,26,68,51,132,18,39,10431,HIGH,IN,N
CW,LC2L,9,34,17,65,8,23,2542,LOW,OS,N
CW,LC5Z,0,7,0,9,0,5,45,HIGH,MO,N
CW,LY0NAS,36,24,72,47,31,18,5831,LOW,PA,N
CW,LY1CT,39,20,74,39,25,15,4520,HIGH,KD,Y
CW,LY1LB,15,38,30,67,12,31,4171,LOW,KN,N
CW,LY2A,84,80,165,160,49,50,32175,LOW,MM,N
CW,LY2AT,45,58,88,116,30,36,13464,LOW,MM,N
