MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
CW,7S3X,8,59,14,114,7,43,6400,LOW,NB,N
CW,ES1BH,61,75,116,143,42,47,23051,HIGH,TL,N
CW,ES1OX,26,36,49,71,18,28,5520,LOW,TL,N
CW,ES2D,17,41,34,81,13,29,4830,MO,HR,N
CW,ES2GW,21,26,38,46,17,22,3276,LOW,HR,N
CW,ES2MA,41,49,76,92,29,34,10584,LOW,HR,N
CW,ES2MC,78,100,155,198,52,58,38830,HIGH,HR,N
CW,ES2RR,69,94,135,186,48,53,32421,HIGH,HR,N
CW,ES3BM,27,6,51,11,18,5,1426,CHECKLOG,RP,Y
CW,ES3LR,18,34,36,64,15,25,4000,LOW,LN,N
CW,ES3TI,44,54,86,104,37,41,14820,HIGH,RP,N
CW,ES5G,89,106,164,198,54,59,40906,MO,JG,N
CW,ES5NY,43,76,84,145,34,49,19007,LOW,JG,N
CW,ES5YG,58,55,114,107,37,39,16796,MO,TA,N
CW,ES7A,61,99,116,196,42,61,32136,HIGH,VP,N
CW,ES7GN,27,72,51,134,21,43,11840,LOW,VP,N
CW,ES8TPR,12,3,23,6,9,3,348,LOW,PU,N
CW,LA1K,3,15,3,24,2,10,324,MO,TR,N
CW,LA1TV,43,81,83,159,29,48,18634,LOW,BU,N
CW,LA6CDA,13,28,20,54,8,21,2146,LOW,BU,N
CW,LA6IHA,5,36,10,70,3,27,2400,LOW,HO,N
CW,LB1R,2,5,4,8,2,4,72,CHECKLOG,BU,Y
CW,LB1UK,8,59,14,116,6,41,6110,LOW,TR,N
CW,LB4UH,20,74,38,137,15,45,10500,LOW,BU,N
CW,LB6VI,0,28,0,52,0,23,1196,HIGH,TR,N
CW,LC5A,25,63,44,119,17,40,9291,LOW,BU,N
CW,LY0NAS,30,29,60,58,19,22,4838,LOW,VU,N
CW,LY1CT,14,90,25,166,10,53,12033,HIGH,KD,N
CW,LY1M,30,93,58,177,16,48,15040,HIGH,MM,N
CW,LY2A,63,97,126,190,36,55,28756,HIGH,MM,N
CW,LY2AT,32,69,61,135,18,43,11956,LOW,MM,N
CW,LY2AX,40,86,72,155,20,46,14982,HIGH,KN,N
CW,LY2CX,77,88,152,172,47,53,32400,HIGH,KI,N
CW,LY2J,33,88,66,173,21,50,16969,LOW,MM,N
CW,LY2K,47,97,90,189,29,61,25110,LOW,AT,N
CW,LY2MC,17,63,33,124,15,39,8478,LOW,TI,N
CW,LY2MM,41,94,77,183,26,56,21320,HIGH,KM,N
CW,LY2SA,25,89,45,178,15,50,14495,LOW,MM,N
CW,LY2TS,19,77,38,149,15,46,11407,LOW,TI,N
CW,LY3CY,30,64,60,127,18,43,11407,HIGH,VU,N
CW,LY3NX,51,76,97,140,31,46,18249,LOW,UT,N
CW,LY4AA,0,50,0,98,0,33,3234,CHECKLOG,KM,Y
CW,LY4L,61,83,122,164,39,51,25740,HIGH,KN,N
CW,LY4Q,0,2,0,4,0,2,8,LOW,VU,N
CW,LY5A,60,80,120,157,33,45,21606,HIGH,SI,N
CW,LY5G,32,55,64,108,24,37,10492,LOW,KD,N
